eps,min_samples,silhouette_score,num_clusters,num_outliers
0.04600000000000001,100,0.3503369273091479,1,2717
0.04400000000000001,70,0.35027218815751693,1,2603
0.048000000000000015,162,0.35021664216668325,1,2830
0.048000000000000015,164,0.35021664216668325,1,2830
0.048000000000000015,166,0.34997697643880166,1,2833
0.04400000000000001,76,0.34987864956553394,1,2659
0.048000000000000015,168,0.34977424536769863,1,2836
0.048000000000000015,170,0.34977424536769863,1,2836
0.04400000000000001,72,0.34944393021621817,1,2620
0.048000000000000015,172,0.34939831632810703,1,2840
0.04600000000000001,102,0.3493312485515646,1,2730
0.04400000000000001,74,0.3493207640420069,1,2629
0.04400000000000001,78,0.3491734082998064,1,2669
0.038000000000000006,28,0.34908102415097286,1,2556
0.04200000000000001,56,0.3489020661583422,1,2606
0.048000000000000015,174,0.3488486739111976,1,2846
0.04600000000000001,104,0.3488327727199451,1,2734
0.048000000000000015,176,0.34878683833938096,1,2853
0.048000000000000015,178,0.34870699925594056,1,2858
0.04000000000000001,36,0.34867192115163337,1,2561
0.048000000000000015,180,0.3486178163352472,1,2863
0.04600000000000001,106,0.3486150675928775,1,2751
0.04400000000000001,80,0.3485338119694886,1,2693
0.04400000000000001,82,0.34842862813653774,1,2714
0.04400000000000001,84,0.3479966566052738,1,2721
0.04600000000000001,108,0.3478351323054174,1,2768
0.048000000000000015,182,0.3474662911967602,1,2885
0.036000000000000004,22,0.34746316036483804,1,2585
0.04200000000000001,58,0.34736062369998416,1,2622
0.048000000000000015,184,0.34733540491325116,1,2886
0.048000000000000015,188,0.34706127160341915,1,2894
0.048000000000000015,192,0.347058064897686,1,2908
0.048000000000000015,190,0.347040606267125,1,2898
0.048000000000000015,186,0.34701395887165093,1,2891
0.04200000000000001,60,0.34695348899659145,1,2637
0.034,16,0.34685119855993746,1,2588
0.048000000000000015,194,0.34667766795288757,1,2917
0.048000000000000015,196,0.34659381043132587,1,2920
0.048000000000000015,198,0.34649518641742066,1,2924
0.04200000000000001,62,0.3464546386275033,1,2642
0.04000000000000001,38,0.3462883787804478,1,2587
0.04400000000000001,86,0.34621071546277427,1,2743
0.038000000000000006,30,0.34586566078868,1,2600
0.04600000000000001,110,0.3458366958275124,1,2786
0.04000000000000001,40,0.3457807933945705,1,2622
0.04600000000000001,112,0.34572172683319985,1,2788
0.04600000000000001,114,0.3455894044766237,1,2804
0.04400000000000001,88,0.3452758429006917,1,2756
0.04600000000000001,116,0.34511227393742516,1,2808
0.04400000000000001,90,0.3449932919455375,1,2783
0.04000000000000001,42,0.34490230202706607,1,2636
0.04600000000000001,118,0.34471849349117445,1,2816
0.04600000000000001,120,0.3445944244074542,1,2851
0.04000000000000001,44,0.34452503560091163,1,2657
0.04600000000000001,122,0.34445743119007005,1,2852
0.04600000000000001,126,0.34434611312335883,1,2877
0.04600000000000001,124,0.34426987419786,1,2856
0.036000000000000004,24,0.34425710994863595,1,2625
0.04400000000000001,92,0.34412104275654365,1,2797
0.04000000000000001,46,0.34411392075385183,1,2672
0.04600000000000001,128,0.34398848951543937,1,2882
0.04600000000000001,130,0.3437703648967561,1,2887
0.04200000000000001,64,0.34309092176390515,1,2692
0.04600000000000001,132,0.34289171392437245,1,2895
0.038000000000000006,32,0.3426750984344068,1,2630
0.04000000000000001,48,0.34255289075757384,1,2690
0.04600000000000001,134,0.34251300279393593,1,2899
0.04600000000000001,136,0.342302519608265,1,2903
0.032,12,0.34222324088122935,1,2657
0.04200000000000001,66,0.34210174176943414,1,2706
0.04600000000000001,138,0.34193919475881923,1,2913
0.034,18,0.34189052105969137,1,2648
0.04600000000000001,140,0.34170878371996516,1,2917
0.04200000000000001,70,0.34162123503203196,1,2755
0.04200000000000001,68,0.3415141809259469,1,2719
0.04600000000000001,144,0.34142999925426076,1,2929
0.04400000000000001,94,0.341425514354689,1,2824
0.04400000000000001,96,0.34138374537960403,1,2826
0.04600000000000001,142,0.34134350459135765,1,2921
0.04000000000000001,50,0.3412751872382848,1,2703
0.04600000000000001,146,0.3411942071388654,1,2936
0.04400000000000001,100,0.34102003016810456,1,2856
0.04200000000000001,72,0.34079114811456074,1,2765
0.04400000000000001,98,0.3407855485534655,1,2835
0.04400000000000001,102,0.3407479768988567,1,2860
0.04000000000000001,52,0.34074740624661837,1,2710
0.04600000000000001,148,0.3405966081447926,1,2942
0.04600000000000001,150,0.34032699575401587,1,2944
0.036000000000000004,26,0.3402761442681655,1,2670
0.038000000000000006,34,0.3401595713426151,1,2669
0.04400000000000001,104,0.3399268693869195,1,2876
0.04600000000000001,152,0.3397056697341479,1,2951
0.038000000000000006,36,0.3395998212559384,1,2677
0.04200000000000001,74,0.33947166652054456,1,2779
0.04600000000000001,154,0.33934780868991493,1,2959
0.04400000000000001,106,0.3392840080920437,1,2888
0.04600000000000001,156,0.33912945268318195,1,2991
0.04000000000000001,54,0.33905100488693074,1,2733
0.04400000000000001,108,0.3390441798446781,1,2894
0.04200000000000001,76,0.3389720565891109,1,2809
0.04600000000000001,160,0.33888551982758675,1,2996
0.04600000000000001,158,0.3388777442204318,1,2995
0.038000000000000006,38,0.3381458047866866,1,2717
0.04400000000000001,110,0.3381164275188936,1,2904
0.04400000000000001,114,0.3380728309295878,1,2954
0.04600000000000001,162,0.3379376799751362,1,3004
0.04400000000000001,112,0.33785879880143466,1,2915
0.04600000000000001,164,0.3377383269226622,1,3007
0.04000000000000001,56,0.337702959948157,1,2754
0.04400000000000001,116,0.3376470973524781,1,2958
0.038000000000000006,40,0.33731669189077934,1,2742
0.04600000000000001,166,0.33729089877458923,1,3011
0.04600000000000001,168,0.3371699185037163,1,3012
0.04600000000000001,170,0.33678149525413725,1,3022
0.04400000000000001,118,0.3367537189889258,1,2971
0.04000000000000001,58,0.3366972439974647,1,2776
0.04400000000000001,120,0.33640465736010877,1,2974
0.036000000000000004,28,0.3362490882826926,1,2724
0.04600000000000001,172,0.33623151166554527,1,3038
0.04400000000000001,122,0.3361786577556348,1,2980
0.034,20,0.3361630546301387,1,2720
0.038000000000000006,42,0.336131234641291,1,2756
0.032,14,0.33611236270830286,1,2730
0.04200000000000001,78,0.33606299681923896,1,2845
0.04200000000000001,80,0.3360328147840293,1,2855
0.04200000000000001,84,0.33565065537826955,1,2887
0.04000000000000001,60,0.3354021097550525,1,2789
0.04200000000000001,82,0.33539301235289043,1,2876
0.04600000000000001,174,0.33531271801011664,1,3050
0.04200000000000001,86,0.3353018668803319,1,2895
0.04400000000000001,124,0.3351593772835916,1,2990
0.04600000000000001,176,0.3350917848195797,1,3055
0.04600000000000001,180,0.3350647758130761,1,3073
0.04200000000000001,88,0.33504215270047594,1,2915
0.04600000000000001,178,0.3349550653322511,1,3060
0.04600000000000001,184,0.3349515047724709,1,3083
0.038000000000000006,44,0.3349376263583667,1,2776
0.04600000000000001,182,0.33485029381256015,1,3077
0.04600000000000001,186,0.33481916159611735,1,3088
0.04400000000000001,128,0.33444509961374647,1,3006
0.04400000000000001,126,0.33441371691597865,1,3001
0.04600000000000001,190,0.3343810188354774,1,3096
0.04600000000000001,188,0.3343528837510108,1,3094
0.04400000000000001,130,0.33429508817115566,1,3010
0.04600000000000001,192,0.3342212354700197,1,3105
0.04200000000000001,90,0.33410945481367477,1,2924
0.04600000000000001,194,0.3340161944402983,1,3107
0.038000000000000006,46,0.33382111380627916,1,2794
0.04000000000000001,62,0.3337117341337325,1,2808
0.036000000000000004,30,0.33357815675431207,1,2775
0.04400000000000001,132,0.3334949150586126,1,3028
0.04400000000000001,134,0.3334201477133455,1,3035
0.04600000000000001,196,0.3330311716444466,1,3118
0.034,22,0.3329911459777369,1,2774
0.04600000000000001,198,0.3329499828572525,1,3124
0.04400000000000001,136,0.33289084539005465,1,3043
0.04400000000000001,138,0.3326250043991746,1,3045
0.04400000000000001,140,0.3325712145215158,1,3047
0.036000000000000004,32,0.33240531609523455,1,2791
0.04000000000000001,66,0.33240527064650094,1,2879
0.032,16,0.33201132533121913,1,2789
0.04400000000000001,142,0.3319512490940908,1,3058
0.04200000000000001,92,0.33185255248444107,1,2965
0.04200000000000001,94,0.3318188618399524,1,2967
0.04000000000000001,64,0.3317564231949463,1,2845
0.04400000000000001,144,0.3316171192420733,1,3088
0.04400000000000001,146,0.3313703888026905,1,3095
0.04400000000000001,148,0.3313703888026905,1,3095
0.04200000000000001,96,0.33129560188433216,1,2982
0.04400000000000001,150,0.33119112679022045,1,3107
0.036000000000000004,34,0.3310944200329933,1,2812
0.038000000000000006,48,0.33108204694776394,1,2823
0.034,24,0.33072106902995774,1,2812
0.04000000000000001,68,0.3305637302093696,1,2919
0.04400000000000001,152,0.3304498018831566,1,3113
0.04200000000000001,98,0.33037668506571005,1,2996
0.04200000000000001,104,0.33019563386084144,1,3045
0.036000000000000004,36,0.330162723475001,1,2845
0.04200000000000001,100,0.33012874398439435,1,3005
0.04200000000000001,102,0.3300783830563246,1,3008
0.038000000000000006,50,0.3296034515918257,1,2844
0.04000000000000001,70,0.3291123421064891,1,2940
0.04000000000000001,72,0.328953781658258,1,2949
0.036000000000000004,38,0.3289079887718371,1,2860
0.04200000000000001,108,0.32886034332701986,1,3079
0.04200000000000001,106,0.3288277704303285,1,3059
0.04200000000000001,110,0.32879481312109077,1,3087
0.04200000000000001,112,0.32870313436236565,1,3089
0.04200000000000001,114,0.3285781092499379,1,3093
0.04200000000000001,116,0.32813359594753694,1,3103
0.038000000000000006,52,0.3278663142375166,1,2873
0.04200000000000001,118,0.327802797747972,1,3108
0.04000000000000001,74,0.3277246277280014,1,2971
0.04400000000000001,154,0.3276804151912589,1,3139
0.04400000000000001,158,0.32760301998138386,1,3148
0.04400000000000001,156,0.3275951594235607,1,3141
0.034,26,0.3275526795201316,1,2857
0.038000000000000006,54,0.32746722033099623,1,2882
0.036000000000000004,40,0.3273326355922171,1,2879
0.04400000000000001,160,0.3272580446841506,1,3152
0.04000000000000001,76,0.32724208573438196,1,2988
0.04200000000000001,120,0.3271625533169174,1,3115
0.04400000000000001,166,0.32692161216045645,1,3187
0.04400000000000001,168,0.3268831625868062,1,3188
0.04400000000000001,162,0.3267816781385543,1,3166
